avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
0.138,9,1984-07-31,,11,,,0,"176cm, 90kg",,,허도환,30,0.300,0.463,포수,10,11,0,26,,LG,,
0.336,96,1993-11-21,,176,,,5,"189cm, 94kg",,,홍창기,51,0.447,0.857,외야수,96,73,10,93,,LG,,
0.280,32,1994-02-09,,146,,,18,"178cm, 88kg",,,강승호,23,0.328,0.804,내야수,81,81,16,158,,두산,,
,76,1999-05-28,4.24,,142,0,11,"187cm, 95kg",167 2/3,9,곽빈,47,,,투수,,,,154,0,두산,15,1.30
,기록이 없습니다.,1999-02-20,,,,,,"184cm, 74kg",,,권민석,34,,,내야수,,,,,,두산,,
,7,2000-12-07,11.00,,15,0,0,"181cm, 87kg",9,0,권휘,39,,,투수,,,,11,0,두산,0,2.44
,21,1988-08-28,3.00,,41,12,1,"187cm, 95kg",42,2,김강률,27,,,투수,,,,33,1,두산,2,1.48
0.278,22,1997-09-07,,70,,,5,"178cm, 106kg",,,김기연,45,0.337,0.714,포수,31,31,0,47,,두산,,
0.133,8,2000-12-06,,10,,,1,"185cm, 83kg",,,김대한,37,0.230,0.417,외야수,10,7,1,26,,두산,,
,2,2002-06-28,3.86,,2,0,0,"181cm, 83kg",2 1/3,0,김도윤,66,,,투수,,,,1,0,두산,0,1.71
,21,2002-02-14,6.84,,67,0,6,"190cm, 90kg",50,3,김동주,41,,,투수,,,,35,0,두산,1,1.76
,8,1993-11-29,9.37,,63,4,8,"178cm, 90kg",32 2/3,1,김명신,46,,,투수,,,,25,0,두산,2,2.17
,기록이 없습니다.,2004-03-29,,,,,,"188cm, 94kg",,,김문수,102,,,외야수,,,,,,두산,,
,19,1999-05-07,4.32,,23,0,4,"183cm, 90kg",25,1,김민규,19,,,투수,,,,19,0,두산,0,1.68
0.200,3,1996-05-03,,1,,,1,"188cm, 100kg",,,김민혁,10,0.500,1.300,내야수,1,2,0,3,,두산,,
,24,2002-01-01,6.43,,28,0,1,"190cm, 98kg",28,2,김유성,62,,,투수,,,,29,0,두산,1,1.86
